t_s,drone_id,lat,lon,heading_deg,speed_kn,kf_std_m,is_lost
44.14,0,54.4388164,18.9252445,287.7,9.2,0.84,0
44.14,1,54.4386934,18.9257724,3.9,12.9,0.84,0
44.14,2,54.4387556,18.9243561,294.8,13.8,0.84,0
44.14,3,54.4390129,18.9252643,336.5,10.8,0.84,0
44.14,4,54.4390428,18.9258535,16.6,13.8,0.84,0
44.14,5,54.4384428,18.9248505,219.3,11.6,0.84,0
44.14,6,54.4383172,18.9245863,240.3,13.9,0.84,0
44.14,7,54.4382321,18.9243116,242.4,7.9,0.84,0
44.14,8,54.4388610,18.9257140,32.1,13.6,0.84,0
45.24,0,54.4388196,18.9252235,281.4,9.8,0.84,0
45.24,1,54.4387029,18.9257935,2.7,11.8,0.84,0
45.24,2,54.4387673,18.9243289,290.4,13.0,0.84,0
45.24,3,54.4390216,18.9252436,342.1,8.8,0.84,0
45.24,4,54.4390595,18.9258442,7.7,15.2,0.84,0
45.24,5,54.4384394,18.9248402,223.2,11.9,0.84,0
45.24,6,54.4383146,18.9245575,234.7,16.0,0.84,0
45.24,7,54.4382262,18.9242920,247.8,10.1,0.84,0
45.24,8,54.4388645,18.9257275,30.5,15.5,0.84,0
46.24,0,54.4388281,18.9251940,277.2,9.8,0.84,0
46.24,1,54.4387166,18.9257909,5.3,11.5,0.84,0
46.24,2,54.4387856,18.9243037,294.9,13.3,0.84,0
46.24,3,54.4390438,18.9252367,344.2,8.6,0.84,0
46.24,4,54.4390867,18.9258559,13.8,12.5,0.84,0
46.24,5,54.4384326,18.9248006,218.6,12.8,0.84,0
46.24,6,54.4382919,18.9245256,225.8,13.0,0.84,0
46.24,7,54.4382234,18.9242637,253.5,13.6,0.84,0
46.24,8,54.4388783,18.9257387,27.5,14.0,0.84,0
47.24,0,54.4388347,18.9251706,270.2,9.5,0.84,0
47.24,1,54.4387382,18.9258084,3.3,12.6,0.84,0
47.24,2,54.4388026,18.9242802,307.4,11.8,0.84,0
47.24,3,54.4390705,18.9252307,342.1,12.2,0.84,0
47.24,4,54.4391006,18.9258810,17.3,10.4,0.84,0
47.24,5,54.4384128,18.9247768,217.6,13.2,0.84,0
47.24,6,54.4382700,18.9244988,223.4,10.9,0.84,0
47.24,7,54.4382021,18.9242407,255.5,16.7,0.84,0
47.24,8,54.4389031,18.9257371,16.3,11.2,0.84,0
48.34,0,54.4388405,18.9251558,267.1,9.6,0.84,0
48.34,1,54.4387552,18.9258301,3.0,13.7,0.84,0
48.34,2,54.4388233,18.9242683,313.6,9.7,0.84,0
48.34,3,54.4390808,18.9252066,331.4,14.6,0.84,0
48.34,4,54.4391085,18.9258803,20.1,9.7,0.84,0
48.34,5,54.4384061,18.9247663,217.4,12.7,0.84,0
48.34,6,54.4382670,18.9244839,219.2,9.7,0.84,0
48.34,7,54.4381980,18.9242018,241.8,13.2,0.84,0
48.34,8,54.4389207,18.9257495,11.1,8.9,0.84,0
49.35,0,54.4388429,18.9251366,264.2,10.3,0.84,0
49.35,1,54.4387758,18.9258401,0.5,13.5,0.84,0
49.35,2,54.4388388,18.9242412,321.0,12.7,0.84,0
49.35,3,54.4390958,18.9251812,316.7,12.6,0.84,0
49.35,4,54.4391293,18.9258975,24.2,11.7,0.84,0
49.35,5,54.4383891,18.9247281,217.3,12.0,0.84,0
49.35,6,54.4382613,18.9244660,220.1,11.3,0.84,0
